Tweet,sentiment
 luvjuan maygodblessallsoul hopepeac grace peopl smart tell deadli disea “virus” scien…,Storngly Positive
 abeeyo sorri cant hang check note coronaviru,Neutral
 murtazaview pdm not permit hold dec thirteen ralli due rise covid19 case deputi commiss lahor,Neutral
 cbsla restaur owner forc shut coronaviru restrict frustrat film crew abl s…,Nagative
 sumoh7 worth read IN full gtgtgt remdesivir covid19 covid19 coronaviru monoclonalantibodi healthcar insur pharmaceutic…,Positive
 jsteinwapo ask board appar smaller coronaviru packag speaker pelosi cite gamechang vacci…,Neutral
 laylamoran anoth busi week ive ✅launch first major xparti report govt handl coronaviru appgcoronaviru ✅met na…,Neutral
 cbs8 san diego counti move new stayathom order region icu capac dip fifteen friday accord stat…,Neutral
 vicbergeriv two hundr seventi thousand american die coronaviru tim dillon timjdillon brought turn pointsfund misinform pr…,Storngly Nagative
 lauriegarrett stellar detail report florida gov desanti order downplay cover true extent covid19 i…,Positive
PM modi say india better equip vaccin mass coronaviru vaccin via namo A…,Positive
 donnyc1975 polish refrig van deliv coronaviru vaccin direct belgium UK that’ come via calai D…,Neutral
 nhindia thi govt antifarm We demand new law withdrawn say ajaykumarlallu uttarpradesh farmersprotest fa…,Nagative
“imagin pearl harbor happen spent seven eight month decid whether not go fi…,Neutral
katieogrady4 stevenbeschloss gop forevermor neverforget,Neutral
 crulg biden say nobodi pay covid care what’ differ catch coronaviru get cancer—with…,Positive
 cleavonmd oregon medic board suspend licen oregon Dr steven latulipp At protrump ralli nov said neither…,Nagative
 charlesjaco1 trumpista MD brag neither staff wear mask oregon clinic medic licen suspend https…,Nagative
 ayubaazad If happen must thank coronaviru nudg us get rid selfinflict inferior complex nepaltour,Nagative
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
 crimesmelan vaccin IS scam moderna boss say covid19 vaccin not proven stop spread viru moderna’ coronaviru vaccin…,Nagative
 newsaboutlif south korea report five hundr eightythr coronaviru case 9month high news,Neutral
 crulg biden say nobodi pay covid care what’ differ catch coronaviru get cancer—with…,Positive
reason diabet vigil practic handwash social distanc mask protocol…,Neutral
 bnodesk break US report nearli two hundr twentyf thousand new coronaviru case set new record,Neutral
 thehindu haryana health minist anil vij test posit coronaviru hospitali hospit ambala https…,Neutral
appolit aaltman82 video evid OF voter fraud elect two thousand twenti georgia voterfraud securityfootage…,Storngly Nagative
At least seventynin pub bar restaur close break coronaviru rule wale In cardiff alone…,Neutral
 abscbnnew govern readi spend much p73 billion procur coronaviru vaccin achiev herd immuni…,Neutral
 cbsla restaur owner forc shut coronaviru restrict frustrat film crew abl s…,Nagative
 khaleejtim indian minist got vaccin test covid19 posit,Neutral
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
 wef attitud toward femal leader havent chang despit coronaviru success gender leadership …,Storngly Positive
 laylamoran anoth busi week ive ✅launch first major xparti report govt handl coronaviru appgcoronaviru ✅met na…,Neutral
new health minist tri clarifi call fake news internet regard coronavirus…,Nagative
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
 benjaminhaddad thi realli smart piec carolinegruyt ten year ago europ seem divid cosmopolitan nationa…,Positive
 agarwaldrsam singapor woman contract covid19 give birth babi antibodi via dna web team,Neutral
rhett link cau coronaviru BC OF hazard ice cream sandwich “i’m ON vacation”,Neutral
 sohinigr He administ trial dose coronaviru vaccin part third phase trial bharat biotech covaxin https…,Neutral
 nythealth “we’r see cdc public health institut awaken politicsinduc coma”,Neutral
 iceagefarm not let darkwint languag coronaviru like bring dark winter american expert…,Positive
 shomariston maryland coupl beat odd beat coronaviru joe levin ninetyeight hi wife betti one hundr they’r both…,Nagative
 wef head imf messag intern commun covid19 econom,Neutral
 shaunk ten thousand american die week coronaviru conserv republican elect offici clownin…,Storngly Nagative
US labor market recoveri lose momentum covid19 case surg via dailystates…,Nagative
 crulg biden say nobodi pay covid care what’ differ catch coronaviru get cancer—with…,Positive
 jonathanturley biden ran mask mandat said mere urg campaign said mandat coupl w…,Neutral
 sunrisemvmtatl perduesen took classifi inform sold twenti million worth stock industri were…,Positive
 mauraresist unit state coronaviru case fourteen million seven hundr fiftyseven thousand five hundr eightynin death two hundr eightyf thousand four hundr fiftysix two hundr twenti thousand new case today two thousand six hundr twentythre death yet sci…,Storngly Nagative
 wef readi schiphol airport gear chill vaccin cargo covid19 vaccin,Neutral
 nytim gov gavin newsom california announc new stayathom restrict thursday prevent second wave coronaviru ca…,Nagative
second stimulu check updat As nanci pelosi give optimist updat here’ tabl congress see…,Storngly Positive
 king5seattl two new kiosk seattl offer free oral test result two thousand four hundr fortyeight hour,Storngly Positive
 rncresearch fox new report pfizer seek fda emerg use author coronaviru vaccin today htt…,Neutral
 lhfang govern continu send massiv coronaviru relief check none go famili need corpor…,Positive
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
 eatersf outdoor dine must cea gather forbidden nonessenti trip not allow least januari four …,Storngly Nagative
haryana health minist anil vij administ trial dose coronaviru vaccin day ago has…,Neutral
 seangreene89 california coronaviru number friday ◦ twentytwo thousand three hundr sixtynin new case report singleday record ◦ two hundr four death reported…,Storngly Nagative
 cleavonmd oregon medic board suspend licen oregon Dr steven latulipp At protrump ralli nov said neither…,Nagative
 nikolovsci look cdc document juli twentysix two thousand twenti implement shield approach prevent covid19 infections…,Positive
atul gawand coronaviru vaccin prospect end pandem via newyork,Positive
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
 crulg biden say nobodi pay covid care what’ differ catch coronaviru get cancer—with…,Positive
 ozraeliavi today zero commun coronaviru case australia wide reason victoria dictatordan say s…,Neutral
 reuter mainland china report seventeen new covid19 case dec four,Neutral
 anshuman1tiwari haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
keep gibraltar british 🇬🇧,Neutral
 uniofexet student book covid19 test yet need know expect arriv the…,Neutral
 snootid coronaviru vaccin better turn spiderman,Positive
 globtrot1 meghasprasad vaccin need time work It take week body’ immun system work vaccin It i…,Neutral
maygodblessallsoul hopepeac grace peopl smart tell deadli disea “virus” do…,Storngly Positive
 crulg biden say nobodi pay covid care what’ differ catch coronaviru get cancer—with…,Positive
redpillswand petitenicoco conceptualjam flu hour hang time also remain surfac day…,Nagative
 99freemind mexico cancel mask,Nagative
upcom theatric relea 👉shakthi 11th decemb 👉 coronaviru 11th decemb 👉vthemovi 18th december…,Neutral
coronaviru stuff seriou i’m start wrap babi df go “ cannot see “,Neutral
As pandem devast rural america small town healthcar worker watch peopl know die…,Neutral
 argylebecki talkradio host mike graham critici sturgeon becom powermad coronaviru pandem He said snp w…,Neutral
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
android41844272 welcom twitter happi coronaviru year covid,Neutral
 nytim devast deadlier second wave coronaviru case swept across europ govern reinstat fall lockdown the…,Neutral
 lauriegarrett stellar detail report florida gov desanti order downplay cover true extent covid19 i…,Positive
 pgtzsche1 coronaviru creat nanni state old peopl not allow visit love one thi unsoli…,Storngly Nagative
 fullfact uk approv pfizer covid vaccin made regul one hundr seventyfour human medicin regul two thousand twelv not…,Neutral
 drianweissman hospit slam covid19 doctor nur plead action governor effort negligibl…,Nagative
 reutersu mainland china report seventeen new covid19 case dec four,Neutral
world count us afford coronaviru vaccin say PM modi via namo app,Neutral
 meghupd haryana minist anil vij given trial dose covaxin test posit coronaviru covidvaccin not…,Neutral
 ufwupd “with one cabinet appoint presidentelect biden could tackl econom inequ ruralurban divid climate…,Neutral
 emmamaymma We lose gener doctor nur done burn ptsd pocket world look “no…,Nagative
 reutershealth portug parliament friday approv 15day exten state emerg dec twentythr decr envi…,Neutral
 msnbc medic licen oregon doctor refu wear face mask despit ongo coronaviru pandem revoke…,Neutral
governmentrun facil not complet task told upload data delhi state health…,Neutral
 lauriegarrett stellar detail report florida gov desanti order downplay cover true extent covid19 i…,Positive
 theleadcnn matthew law 35yearold veteran amp father five die coronaviru jaketapp report https…,Storngly Nagative
 kpixtv mani east bay restaur owner told kpix takeout deliveri alon not financ sustain latest…,Neutral
 itheindian haryana home minist anil vij took shot bharat biotech covaxin twenti novemb test posit coro…,Neutral
 usfda today fda author first diagnost test use homecollect sampl detect covid19 amp influenza amp…,Neutral
 bryandawsonusa senat intel chairman senatorburr get intellig brief coronaviru reassur public w…,Neutral
whi arent peopl act like nine hundr eleven happen yesterday covid19 secondwav coronaviru,Nagative
australian would agr leader real care constitu follow scienc imagin…,Positive
 bradpsycholog He actual say If i’m ask advi constituents” Do voter craig kelly’ elector know fantasi about…,Neutral
understand liquid push look infograph 10x two thousand eight not done yet US is…,Neutral
 abc7ni coronaviru new covid19 vaccin question answer,Neutral
 bymikebak roll averag daili coronaviru death surpass two thousand time US death number t…,Storngly Nagative
 rncresearch democrat gov phil murphi credit realdonaldtrump administr histor speed coronaviru vaccin developmen…,Positive
 ohmes2 park So dam get test coronaviru employ compani produc play confirm posit wa…,Positive
haryana health minist anil vij administ trial dose coronaviru vaccin bharat biotech…,Neutral
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
 daxgigandet biden coronaviru team trump team coronaviru tell everyth need know,Neutral
 amysiskind anoth week gone mcconnel get away not bring coronaviru relief bill senat floor…,Nagative
 shahnafisa welcom chairman bbhuttozardari back public life defeat coronaviru test neg twice https…,Nagative
 wef readi schiphol airport gear chill vaccin cargo covid19 vaccin,Neutral
rishi sunak’ cut ‘risk plung three million poverty’ fabian societi studi outlin threat chance…,Storngly Nagative
 ndtv haryana health minist anil vij given trial dose coronaviru vaccin last month test posit,Neutral
 kateandtheboy sweden reject need face mask coronaviru death top seven thousand,Storngly Nagative
 atrupar elect republican not polit covid they’r side coronaviru,Neutral
southern california icu capac drop fifteen trigger stayathom order abc7 lo angel,Nagative
US say UN covid19 meet stage chine propaganda,Neutral
 cbsla restaur owner forc shut coronaviru restrict frustrat film crew abl s…,Nagative
 thehindu haryana health minist anil vij test posit coronaviru hospitali hospit ambala https…,Neutral
 lauriegarrett stellar detail report florida gov desanti order downplay cover true extent covid19 i…,Positive
 thehindu haryana health minist anil vij test posit coronaviru hospitali hospit ambala https…,Neutral
 wfla tampa gener hospit prepar accept first shipment coronaviru vaccin wflajustin report h…,Positive
PM narendramodi visit bogu vaccin companysay peopl haryana minist test posit post his…,Neutral
 anacabrera omg coronaviru one cau death US week surpass heart disea drsanjaygupta say,Storngly Nagative
 cbs8 san diego counti move new stayathom order region icu capac dip fifteen friday accord stat…,Neutral
 sportscent karlanthoni town open he’ continu process death mother six famili member w…,Storngly Nagative
 rexchapman live kentucki peopl hurt coronaviru hospit capac painkil heroin unemploy No relief…,Storngly Nagative
 nythealth “we’r see cdc public health institut awaken politicsinduc coma”,Neutral
 rachymochi86 henrylau89 sooo quiet almost whole day novemb 30th asid coronaviru scare a…,Nagative
haryana health minist anil vij test posit coronaviru hospitali hospit ambal…,Neutral
